Albania,178.36,132.38,130.91,144.77,175.89,197.23,196.86,240.81
Belgium,5200.06,4204.45,4258.11,4440.72,4844.94,4761.27,5323.53,6399.55
Bulgaria,747.23,632.72,670.62,724.46,962.23,2158.59,1120.51,1281.80
Canada,18172.42,18689.41,17708.23,23699.96,22398.90,22572.16,23594.57,26918.55
Croatia,1063.52,883.23,836.85,924.02,966.46,1001.90,980.83,1444.91
Czech Republic,1975.31,1921.40,1865.74,2258.92,2749.77,2981.52,3199.34,3972.29
Denmark,4056.87,3363.98,3593.40,3780.32,4558.79,4487.45,4885.60,5550.72
Estonia,513.53,463.43,497.43,541.19,615.22,637.08,719.49,770.99
France,52022.41,43496.12,44209.05,46133.46,50506.96,49666.72,52519.57,57098.17
Germany,46175.79,39833.44,41606.35,45470.39,49772.31,52549.25,58652.26,63339.39
Greece,5233.82,4519.62,4636.67,4752.24,5388.06,5019.09,5491.95,7758.18
Hungary,1209.80,1132.47,1288.70,1708.12,1615.40,2189.94,2767.31,3140.04
Italy,24487.29,19576.28,22381.99,23902.40,25641.13,23558.55,30084.43,32718.76
Latvia*,293.74,281.56,402.99,485.24,709.58,692.26,742.57,834.64
Lithuania*,427.62,471.49,635.87,817.40,1056.90,1093.50,1175.69,1317.80
Luxembourg,252.95,249.53,236.03,325.66,355.78,381.26,425.77,461.82
Montenegro,69.13,56.94,62.27,65.09,75.42,73.90,82.74,92.02
Netherlands,10348.71,8672.67,9111.66,9642.81,11172.41,12059.51,12824.21,14690.41
North Macedonia,123.84,105.41,103.67,101.46,119.70,146.16,153.65,209.22
Norway,7721.76,6141.84,6431.23,6850.42,7543.64,7536.12,7227.65,8234.29
Poland*,10106.66,10588.47,9397.47,9940.39,11857.42,11824.14,13362.74,15400.74
Portugal,3007.36,2645.16,2615.77,2737.63,3248.69,3299.09,3272.55,3920.33
Romania*,2691.47,2580.61,2645.44,3643.34,4359.38,4607.71,5049.71,5347.67
Slovak Republic,998.71,986.97,1003.81,1055.50,1297.77,1802.05,2049.20,2002.74
Slovenia,486.97,400.99,449.46,476.80,546.62,572.40,568.37,744.85
Spain,12634.32,11096.06,9974.94,11889.14,13199.86,12630.39,12828.04,14580.76
Turkey,13576.89,11953.25,12643.55,12970.99,14167.57,14088.65,13395.89,13014.30
United Kingdom,65691.74,59505.33,56362.45,55718.63,60380.34,59399.30,63499.97,72706.39
United States,653942.00,641253.00,656059.00,642933.00,672255.00,730149.00,784952.00,811140.00,289275.30,254422.85,255594.71,275100.05,300167.44,301841.03,326194.98,364192.12,943217.30,895675.85,911653.71,918033.05,972422.44,1031990.03,1111146.98,1175332.12
